STT,Mã Tỉnh/TP,Tên Tỉnh/TP,Mã Quận/Huyện,Tên Quận/Huyện,Mã Trường,Tên Trường,Địa Chỉ,Khu Vực,Trường DTNT
1,01,Hà Nội,00,Sở Giáo dục và Đào tạo,800,Học ở nước ngoài,,KV3,
2,01,Hà Nội,00,Sở Giáo dục và Đào tạo,900,"Quân nhân, Công an tại ngũ",,KV3,
3,01,Hà Nội,01,Quận Ba Đình,062,THPT Nguyễn Trãi-Ba Đình,"Số 50 phố Nam Cao, phường Giảng Võ, quận Ba Đình, TP Hà Nội",KV3,
4,01,Hà Nội,01,Quận Ba Đình,066,THPT Phan Đình Phùng,"Số 30, phố Phan Đình Phùng, phường Quán Thánh, quận Ba Đình, TP Hà Nội",KV3,
5,01,Hà Nội,01,Quận Ba Đình,068,THPT Phạm Hồng Thái,"Số 1 Phố Nguyễn Văn Ngọc, phường Cống Vị, quận Ba Đình, TP Hà Nội",KV3,
6,01,Hà Nội,01,Quận Ba Đình,088,"TH,THCS&THPT Thực nghiệm Khoa học Giáo dục","Số 50 đường Liễu Giai, phường Cống Vị, quận Ba Đình, TP Hà Nội",KV3,
7,01,Hà Nội,01,Quận Ba Đình,223,THPT Hoàng Long,"Số 94, ngõ 189 Hoàng Hoa Thám, phường Liễu Giai, quận Ba Đình, TP Hà Nội",KV3,
8,01,Hà Nội,01,Quận Ba Đình,401,GDNN-GDTX quận Ba Đình,"Số 1 Ngõ 294 Đội Cấn, phường Cống Vị, quận Ba Đình, TP Hà Nội",KV3,
9,01,Hà Nội,01,Quận Ba Đình,441,GDTX Ba Đình,"Ngõ 294 Phố Đội Cấn, quận Ba Đình, TP Hà Nội",KV3,
10,01,Hà Nội,01,Quận Ba Đình,610,CĐ nghề Hùng Vương,"Số 324, Đường Bưởi, Phường Vĩnh Phúc, Quận Ba Đình, TP Hà Nội",KV3,
11,01,Hà Nội,01,Quận Ba Đình,621,CĐ nghề VIGLACERA,"Số 92 phố Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, TP Hà Nội",KV3,
12,01,Hà Nội,01,Quận Ba Đình,801,Trường THPT - Khu vực 1,,KV1,
13,01,Hà Nội,01,Quận Ba Đình,802,Trường THPT - KV2NT,,KV2-NT,
14,01,Hà Nội,01,Quận Ba Đình,803,Trường THPT - KV2,,KV2,
15,01,Hà Nội,01,Quận Ba Đình,804,Trường THPT - Khu vực 3,,KV3,
16,01,Hà Nội,02,Quận Hoàn Kiếm,098,THPT Trần Phú-Hoàn Kiếm,"Số 8 phố Hai Bà Trưng, phường Tràng Tiền, quận Hoàn Kiếm, TP Hà Nội",KV3,
17,01,Hà Nội,02,Quận Hoàn Kiếm,111,THPT Việt Đức,"Số 47 Lý Thường Kiệt, phường Trần Hưng Đạo, quận Hoàn Kiếm, TP Hà Nội",KV3,
18,01,Hà Nội,02,Quận Hoàn Kiếm,211,THPT Đinh Tiên Hoàng-Ba Đình,"Số 10 Chương Dương Độ, Phường Chương Dương, quận Hoàn Kiếm, TP Hà Nội",KV3,
19,01,Hà Nội,02,Quận Hoàn Kiếm,228,THPT Hồng Hà,"Số 10, Chương Dương Độ, phường Chương dương, quận Hoàn Kiếm, TP Hà Nội",KV3,
20,01,Hà Nội,02,Quận Hoàn Kiếm,406,GDNN-GDTX Nguyễn Văn Tố quận Hoàn Kiếm,"Số 47 Hàng Quạt, phường Hàng Gai, quận Hoàn Kiếm, TP Hà Nội",KV3,
21,01,Hà Nội,02,Quận Hoàn Kiếm,456,GDTX Nguyễn Văn Tố,Số 47 Hàng Quạt- Quận Hoàn Kiếm- TP Hà Nội,KV3,
22,01,Hà Nội,02,Quận Hoàn Kiếm,501,Cao đẳng Nghệ thuật Hà Nội,"Số 7 phố Hai Bà Trưng, phường Tràng Tiền, quận Hoàn Kiếm, TP Hà Nội",KV3,
23,01,Hà Nội,02,Quận Hoàn Kiếm,636,TC nghề đồng hồ - điện tử - tin học HN,"Số 55 Hàng Bông, Quận Hoàn Kiếm, TP Hà Nội",KV3,
24,01,Hà Nội,03,Quận Hai Bà Trưng,024,THPT Đoàn Kết-Hai Bà Trưng,"Số 174 Hồng Mai, phường Bạch Mai, quận Hai Bà Trưng, TP Hà Nội",KV3,
25,01,Hà Nội,03,Quận Hai Bà Trưng,087,THPT Thăng Long,"Số 44 phố Tạ Quang Bửu, phường Bạch Mai, quận Hai Bà Trưng, TP Hà Nội",KV3,
26,01,Hà Nội,03,Quận Hai Bà Trưng,097,THPT Trần Nhân Tông,"Số 15 phố Hương Viên, phường Đồng Nhân, quận Hai Bà Trưng, TP Hà Nội",KV3,
27,01,Hà Nội,03,Quận Hai Bà Trưng,214,THPT Đông Kinh,"Số 18C Tam Trinh, phường Minh Khai, quận Hai Bà Trưng, TP Hà Nội",KV3,
28,01,Hà Nội,03,Quận Hai Bà Trưng,222,THPT Hoàng Diệu,"Số 9 Phố Bùi Ngọc Dương, phường Bạch Mai, quận Hai Bà Trưng, TP Hà Nội",KV3,
29,01,Hà Nội,03,Quận Hai Bà Trưng,241,THPT Mai Hắc Đế,"Ngõ 29A Phường Vĩnh Tuy, quận Hai Bà Trưng, TP Hà Nội",KV3,
30,01,Hà Nội,03,Quận Hai Bà Trưng,271,THCS và THPT Tạ Quang Bửu,"Số 92 Phố Lê Thanh Nghị, phường Bách Khoa, quận Hai Bà Trưng, TP Hà Nội",KV3,
31,01,Hà Nội,03,Quận Hai Bà Trưng,283,THPT Văn Hiến,"số 310 phố Minh Khai, phường Minh Khai, quận Hai Bà Trưng, TP Hà Nội",KV3,
32,01,Hà Nội,03,Quận Hai Bà Trưng,295,"TH,THCS&THPT Vinschool","Tòa nhà T37 khu đô thị Times City, 458 Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng, TP Hà Nội",KV3,
33,01,Hà Nội,03,Quận Hai Bà Trưng,297,THPT Hòa Bình-La Trobe-Hà Nội,"Số 65 Cảm Hội, phường Đống Mác, quận Hai Bà Trưng, TP Hà Nội",KV3,
34,01,Hà Nội,03,Quận Hai Bà Trưng,405,GDNN-GDTX quận Hai Bà Trưng,"Số 15 phố Bùi Ngọc Dương, phường Bạch Mai, quận Hai Bà Trưng, TP Hà Nội",KV3,
35,01,Hà Nội,03,Quận Hai Bà Trưng,450,GDTX Hai Bà Trưng,"Số 14- Phố Lê Gia Đỉnh, phường Phố Huế, quận Hai Bà Trưng- TP Hà Nội",KV3,
36,01,Hà Nội,03,Quận Hai Bà Trưng,603,CĐ nghề Bách Khoa Hà Nội,"Số 15A Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, TP Hà Nội",KV3,
37,01,Hà Nội,03,Quận Hai Bà Trưng,612,CĐ nghề KT công nghệ LOD - Phân hiệu HN,"Số 924 Bạch Đằng, Phường Thanh Lương, Quận Hai Bà Trưng, TP Hà Nội",KV3,
38,01,Hà Nội,03,Quận Hai Bà Trưng,631,TC nghề Dân lập Công nghệ Thăng Long,"Số 28 Ngõ 20 Trương Định, Quận Hai Bà Trưng, TP Hà Nội",KV3,
39,01,Hà Nội,04,Quận Đống Đa,027,THPT Đống Đa,"Số 10 ngõ Quan Thổ 1 Phố Tôn Đức Thắng, phường Hàng Bột, quận Đống Đa, TP Hà Nội",KV3,
40,01,Hà Nội,04,Quận Đống Đa,031,THPT Hoàng Cầu,"Số 27/44 Nguyễn Phúc Lai, phường Ô Chợ Dừa, quận Đống Đa, TP Hà Nội",KV3,
41,01,Hà Nội,04,Quận Đống Đa,038,THPT Kim Liên,"Số 1 Ngõ 4C Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, TP Hà Nội",KV3,
42,01,Hà Nội,04,Quận Đống Đa,041,THPT Lê Quý Đôn-Đống Đa,"Số 195 Ngõ Xã Đàn II, phường Nam Đồng, quận Đống Đa, TP Hà Nội",KV3,
43,01,Hà Nội,04,Quận Đống Đa,067,THPT Phan Huy Chú-Đống Đa,"Số 34 Ngõ 49 Huỳnh Thúc Kháng, phường Láng Hạ, quận Đống Đa, TP Hà Nội",KV3,
44,01,Hà Nội,04,Quận Đống Đa,074,THPT Quang Trung-Đống Đa,"Số 178 Đường Láng, phường Thịnh Quang, quận Đống Đa, TP Hà Nội",KV3,
45,01,Hà Nội,04,Quận Đống Đa,201,THCS&THPT Alfred Nobel,"Ngõ 14C Pháo đài Láng, phường Láng Thượng, quận Đống Đa, TP Hà Nội",KV3,
46,01,Hà Nội,04,Quận Đống Đa,203,THPT Bắc Hà-Đống Đa,"Số 1A, ngõ 538 Đường Láng, phường Láng Hạ, quận Đống Đa, TP Hà Nội",KV3,
47,01,Hà Nội,04,Quận Đống Đa,218,THPT Hà Nội,"Số 106, phố Thái Thịnh, quận Đống Đa, TP Hà Nội",KV3,
48,01,Hà Nội,04,Quận Đống Đa,251,THPT Nguyễn Du-Mê Linh,"Số 20 Tôn Thất Tùng, quận Đống Đa, TP Hà Nội",KV3,
49,01,Hà Nội,04,Quận Đống Đa,259,THPT Nguyễn Văn Huyên,"Số 55A Phố Nhuệ Giang, Phường Tây Mỗ, quận Nam Từ Liêm, TP. Hà Nội",KV3,
50,01,Hà Nội,04,Quận Đống Đa,266,THPT Phùng Khắc Khoan,"Số 85 phố Lương Đình Của, phường Phương Mai, quận Đống Đa, TP Hà Nội",KV3,
51,01,Hà Nội,04,Quận Đống Đa,284,THPT Văn Lang,"Số 160 Tôn Đức Thắng, quận Đống Đa, TP Hà Nội",KV3,
52,01,Hà Nội,04,Quận Đống Đa,301,THCS&THPT TH School,"Số 4-6 Chùa Bộc, phường Quang Trung, quận Đống Đa, Hà Nội",KV3,
53,01,Hà Nội,04,Quận Đống Đa,403,GDNN-GDTX quận Đống Đa,"Số 5 ngõ 4A Phố Đặng Văn Ngữ, phường Trung Tự, quận Đống Đa, TP Hà Nội",KV3,
54,01,Hà Nội,04,Quận Đống Đa,449,GDTX Đống Đa,Số 5 ngõ 4A Đặng Văn Ngữ- Quận Đống Đa- TP Hà Nội,KV3,
55,01,Hà Nội,04,Quận Đống Đa,503,Học viện âm nhạc QGVN,"Số 77 Hào Nam, phường Ô Chợ Dừa, quận Đống Đa, TP Hà Nội",KV3,
56,01,Hà Nội,04,Quận Đống Đa,507,Đại học Văn Hóa Nghệ thuật Quân đội,"số 101 đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, TP Hà Nội",KV3,
57,01,Hà Nội,04,Quận Đống Đa,601,CĐ Kỹ thuật thiết bị y tế,"Số 1 Ngõ 89, Phương Mai, Quận Đống Đa, TP Hà Nội",KV3,
58,01,Hà Nội,04,Quận Đống Đa,606,CĐ nghề Công nghiệp Hà Nội,"Số 131 Phố Thái Thịnh, Quận Đống Đa, TP Hà Nội",KV3,
59,01,Hà Nội,04,Quận Đống Đa,625,TC nghề Công đoàn Việt Nam,"Số 21 ngõ 167 Tây Sơn, Quang Trung, Quận Đống Đa, TP Hà Nội",KV3,
60,01,Hà Nội,04,Quận Đống Đa,647,TC nghề may và thời trang Hà Nội,"Số 56 Khâm Thiên, Quận Đống Đa, TP Hà Nội",KV3,
61,01,Hà Nội,04,Quận Đống Đa,648,TC nghề Nấu ăn và Nghiệp vụ khách sạn HN,"Số 6, ngõ Lệnh Cư, Khâm Thiên, Quận Đống Đa, TP Hà Nội",KV3,
62,01,Hà Nội,04,Quận Đống Đa,659,TC nghề thông tin và truyền thông HN,"Số 30 Trung Liệt, Quận Đống Đa, TP Hà Nội",KV3,
63,01,Hà Nội,04,Quận Đống Đa,668,Trường Nghệ thuật Quân đội,"Đường Nguyễn Chí Thanh, Quận Đống Đa, TP Hà Nội",KV3,
64,01,Hà Nội,05,Quận Tây Hồ,008,THPT chuyên Chu Văn An,"Số 10 Thuỵ Khuê, Quận Tây Hồ, TP Hà Nội",KV3,
65,01,Hà Nội,05,Quận Tây Hồ,082,THPT Tây Hồ,"Số 41, phố Phú Thượng, phường Phú Thượng, quận Tây Hồ, TP Hà Nội",KV3,
66,01,Hà Nội,05,Quận Tây Hồ,152,THPT Chu Văn An (trước 01/2025),"Số 10 Thuỵ Khuê, Quận Tây Hồ, TP Hà Nội",KV3,
67,01,Hà Nội,05,Quận Tây Hồ,213,THPT Đông Đô,"Số 8 Võng Thị, phường Bưởi, quận Tây Hồ, TP Hà Nội",KV3,
68,01,Hà Nội,05,Quận Tây Hồ,219,THPT Hà Nội Academy,"Lô D45-D46 Khu đô thị Quốc tế Nam Thăng Long Ciputra, phường Phú Thượng, quận Tây Hồ, TP Hà Nội",KV3,
69,01,Hà Nội,05,Quận Tây Hồ,262,THPT Phan Chu Trinh,"Số 481 đường Âu Cơ, phường Nhật Tân, quận Tây Hồ, TP Hà Nội",KV3,
70,01,Hà Nội,05,Quận Tây Hồ,270,"TH,THCS,THPT Song ngữ QT Horizon","Số 98 Tô Ngọc Vân, phường Quảng An, quận Tây Hồ, TP Hà Nội",KV3,
71,01,Hà Nội,05,Quận Tây Hồ,410,GDNN-GDTX quận Tây Hồ,"Số 43 Phố Phú Thượng, phường Phú Thượng, quận Tây Hồ, TP Hà Nội",KV3,
72,01,Hà Nội,05,Quận Tây Hồ,463,GDTX Tây Hồ,Số 57/15 đường An Dương Vương- Phú Thượng- Quận Tây Hồ- TP Hà Nội,KV3,
73,01,Hà Nội,05,Quận Tây Hồ,642,TC nghề Kỹ nghệ thực hành HIPT,"Ngõ 28, tầng 2, chung cư nhà F, Xuân La, Quận Tây Hồ, TP Hà Nội",KV3,
74,01,Hà Nội,06,Quận Cầu Giấy,007,THPT Cầu Giấy,"Ngõ 118, Đường Nguyễn Khánh Toàn, Quận Cầu Giấy, TP Hà Nội",KV3,
75,01,Hà Nội,06,Quận Cầu Giấy,009,THPT chuyên Đại học Sư phạm,"Số 136 đường Xuân Thuỷ, Phường Dịch Vọng Hậu, Quận Cầu Giấy, TP Hà Nội",KV3,
76,01,Hà Nội,06,Quận Cầu Giấy,010,THPT chuyên Hà Nội-Amsterdam,"Số 1, đường Hoàng Minh Giám, quận Cầu Giấy, TP Hà Nội",KV3,
77,01,Hà Nội,06,Quận Cầu Giấy,013,THPT chuyên Ngoại ngữ,"Số 2 đường Phạm Văn Đồng, phường Dịch Vọng Hậu, quận Cầu Giấy, TP Hà Nội",KV3,
78,01,Hà Nội,06,Quận Cầu Giấy,060,THCS và THPT Nguyễn Tất Thành,"Số 136 Đường Xuân Thuỷ, phường Dịch Vọng Hậu, quận Cầu Giấy, TP Hà Nội",KV3,
79,01,Hà Nội,06,Quận Cầu Giấy,117,THPT Yên Hòa,"Số 251 Nguyễn Khang, phường Yên Hòa, quận Cầu Giấy, TP Hà Nội",KV3,
80,01,Hà Nội,06,Quận Cầu Giấy,215,THPT Einstein,"Số 169, phố Nguyễn Ngọc Vũ, phường Trung Hòa, quận Cầu Giấy, TP Hà Nội",KV3,
81,01,Hà Nội,06,Quận Cầu Giấy,221,PTDL Hermann Gmeiner,"Số 2 Doãn Kế Thiện, phường Mai Dịch, quận Cầu Giấy, TP Hà Nội",KV3,
82,01,Hà Nội,06,Quận Cầu Giấy,226,THPT Hồng Bàng,"Số 169 Nguyễn Ngọc Vũ, Quận Cầu Giấy, TP Hà Nội",KV3,
83,01,Hà Nội,06,Quận Cầu Giấy,236,THCS&THPT Lương Thế Vinh,"Số 35 phố Đinh Núp, phường Trung Hòa, quận Cầu giấy, TP Hà Nội",KV3,
84,01,Hà Nội,06,Quận Cầu Giấy,238,THPT Lương Văn Can,"Lô NT1, khu đô thị Nam Trung Yên, phường Trung Hòa, quận Cầu Giấy, TP Hà Nội",KV3,
85,01,Hà Nội,06,Quận Cầu Giấy,239,THPT Lý Thái Tổ,"Số 165 Đường Hoàng Ngân, phường Trung Hòa, quận Cầu Giấy, TP Hà Nội",KV3,
86,01,Hà Nội,06,Quận Cầu Giấy,250,THCS&THPT Nguyễn Bỉnh Khiêm-Cầu Giấy,"Số 6 Trần Quốc Hoàn, phường Dịch Vọng Hậu, quận Cầu Giấy, TP Hà Nội",KV3,
87,01,Hà Nội,06,Quận Cầu Giấy,253,THCS và THPT Nguyễn Siêu,"Số 35, Phố Mạc Thái Tổ, phường Yên Hòa, quận Cầu Giấy, TP Hà Nội",KV3,
88,01,Hà Nội,06,Quận Cầu Giấy,296,THPT Global,"Lô C1, C2 Khu đô thị mới Yên Hòa, phường Yên Hòa, quận Cầu Giấy, TP Hà Nội",KV3,
89,01,Hà Nội,06,Quận Cầu Giấy,305,"TH,THCS&THPT Đa Trí Tuệ","Lô TH2, Khu đô thị mới Dịch Vọng, phường Dịch Vọng, quận Cầu Giấy, TP Hà Nội",KV3,
90,01,Hà Nội,06,Quận Cầu Giấy,402,GDNN-GDTX quận Cầu Giấy,"Số 2 Ngõ 181 đường Xuân Thuỷ, phường Dịch Vọng Hậu, quận Cầu Giấy, TP Hà Nội",KV3,
91,01,Hà Nội,06,Quận Cầu Giấy,443,GDTX&DN Cầu Giấy,"Ngõ 223 đường Xuân Thuỷ, quận Cầu Giấy, TP Hà Nội",KV3,
92,01,Hà Nội,06,Quận Cầu Giấy,505,Trung cấp NT Xiếc và Tạp kỹ Việt Nam,"Khu Văn hóa nghệ thuật, phường Mai Dịch, quận Cầu Giấy, TP Hà Nội",KV3,
93,01,Hà Nội,06,Quận Cầu Giấy,506,Cao đẳng Sư phạm Trung ương,"Số 387 Hoàng Quốc Việt, phường Nghĩa Tân, quận Cầu Giấy, TP Hà Nội",KV3,
94,01,Hà Nội,06,Quận Cầu Giấy,508,Học viện Múa Việt Nam,"Khu văn hóa nghệ thuật, phường Mai Dịch, quận Cầu Giấy, TP Hà Nội",KV3,
95,01,Hà Nội,06,Quận Cầu Giấy,604,CĐ nghề cơ điện Hà Nội,"Số 160 Mai Dịch, Quận Cầu Giấy, TP Hà Nội",KV3,
96,01,Hà Nội,06,Quận Cầu Giấy,617,CĐ nghề Phú Châu,"Số 104, đường Hoàng Quốc Việt, Quận Cầu Giấy, TP Hà Nội",KV3,
97,01,Hà Nội,06,Quận Cầu Giấy,619,CĐ nghề Trần Hưng Đạo,"Số 24, ngõ 4, Phố Phạm Tuấn Tài, Quận Cầu Giấy, TP Hà Nội",KV3,
98,01,Hà Nội,06,Quận Cầu Giấy,669,Trường CĐ Múa Việt Nam,,KV3,
99,01,Hà Nội,07,Quận Thanh Xuân,011,THPT chuyên Khoa học tự nhiên,"Số 182 đường Lương Thế Vinh, phường Thanh Xuân Bắc, quận Thanh Xuân, TP Hà Nội",KV3,
100,01,Hà Nội,07,Quận Thanh Xuân,065,THPT Nhân Chính,"Phố Ngụy Như Kon Tum, phường Nhân Chính, quận Thanh Xuân, TP Hà Nội",KV3,
101,01,Hà Nội,07,Quận Thanh Xuân,096,THPT Trần Hưng Đạo-Thanh Xuân,"Ngõ 477 Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, TP Hà Nội",KV3,
102,01,Hà Nội,07,Quận Thanh Xuân,128,THPT Khương Đình,"Ngách 29/78 Khương Hạ, Phường Khương Đình,quận Thanh Xuân, TP Hà Nội",KV3,
103,01,Hà Nội,07,Quận Thanh Xuân,129,THPT chuyên Khoa học Xã hội và Nhân văn,"số 336 đường Nguyễn Trãi, phường Thanh Xuân Trung, quận Thanh Xuân, TP Hà Nội",KV3,
104,01,Hà Nội,07,Quận Thanh Xuân,132,"TH,THCS và THPT Khương Hạ","Số 31 Khương Hạ, Phường Khương Đình, quận Thanh Xuân, TP Hà Nội",KV3,
105,01,Hà Nội,07,Quận Thanh Xuân,207,THPT Đào Duy Từ,"Số 182 đường Lương Thế Vinh, phường Thanh Xuân Bắc, quận Thanh Xuân, TP Hà Nội",KV3,
106,01,Hà Nội,07,Quận Thanh Xuân,208,THPT Đại Việt,"Số 301 Nguyễn Trãi, phường Thanh Xuân Trung, quận Thanh Xuân, TP Hà Nội",KV3,
107,01,Hà Nội,07,Quận Thanh Xuân,224,THPT Hồ Tùng Mậu,"Số 18 Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, TP Hà Nội",KV3,
108,01,Hà Nội,07,Quận Thanh Xuân,229,THPT Huỳnh Thúc Kháng,"Số 131, đường Nguyễn Trãi, quận Thanh Xuân, TP Hà Nội",KV3,
109,01,Hà Nội,07,Quận Thanh Xuân,254,THPT Nguyễn Tất Thành,"Số 54, phố Vũ Trọng Phụng, quận Thanh Xuân, TP Hà Nội",KV3,
110,01,Hà Nội,07,Quận Thanh Xuân,255,THPT Hoàng Mai,"Số 54A2, đường Vũ Trọng Phụng, quận Thanh Xuân, TP Hà Nội",KV3,
111,01,Hà Nội,07,Quận Thanh Xuân,322,THPT Lương Thế Vinh (trước 9/2015),"Số 233 Vũ Tông Phan, phường Khương Trung, quận Thanh Xuân, TP Hà Nội",KV3,
112,01,Hà Nội,07,Quận Thanh Xuân,335,THPT Nguyễn Trường Tộ,"Số 30 ngõ 208 tổ 20 phố Lê Trọng Tấn, phường Khương Mai, quận Thanh Xuân, TP Hà Nội",KV3,
113,01,Hà Nội,07,Quận Thanh Xuân,342,THPT Đông Nam Á (Trước 12/2017),"Số 19 Cự Lộc, phường Thanh Xuân, quận Thanh Xuân, TP Hà Nội",KV3,
114,01,Hà Nội,07,Quận Thanh Xuân,347,THPT Hồ Xuân Hương,"Số 1 Nguyễn Quý Đức, phường Thanh Xuân Bắc, quận Thanh Xuân, TP Hà Nội",KV3,
115,01,Hà Nội,07,Quận Thanh Xuân,348,THPT Nguyễn Tất Thành-Sơn Tây (từ 3/2019 đến 11/2020),"Số 54, phố Vũ Trọng Phụng, quận Thanh Xuân, TP Hà Nội",KV3,
116,01,Hà Nội,07,Quận Thanh Xuân,411,GDNN-GDTX quận Thanh Xuân,"Số 140 phố Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân, TP Hà Nội",KV3,
117,01,Hà Nội,07,Quận Thanh Xuân,466,GDTX Thanh Xuân,"Số 140 phố Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân, TP Hà Nội",KV3,
118,01,Hà Nội,07,Quận Thanh Xuân,502,BTVH Công ty Xây dựng Công nghiệp,"Số 25 ngõ 85 phố Hạ Đình, Quận Thanh Xuân, TP Hà Nội",KV3,
119,01,Hà Nội,07,Quận Thanh Xuân,626,TC nghề Công nghệ ôtô,"Số 83 Triều Khúc, Quận Thanh Xuân, TP Hà Nội",KV3,
120,01,Hà Nội,07,Quận Thanh Xuân,641,TC nghề Kinh tế Kỹ thuật vinamotor,"Số 35 B Nguyễn Huy Tưởng, P. Thanh Xuân Trung, Quận Thanh Xuân, TP Hà Nội",KV3,
121,01,Hà Nội,07,Quận Thanh Xuân,652,TC nghề số 10,"Số 101 Tô Vĩnh Diện, Khương Trung, Quận Thanh Xuân, TP Hà Nội",KV3,
122,01,Hà Nội,08,Quận Hoàng Mai,032,THPT Hoàng Văn Thụ,"Số 234 Đường Lĩnh Nam, phường Lĩnh Nam, quận Hoàng Mai, TP Hà Nội",KV3,
123,01,Hà Nội,08,Quận Hoàng Mai,102,THPT Trương Định,"Số 204 phố Tân Mai, phường Tân Mai, quận Hoàng Mai, TP Hà Nội",KV3,
124,01,Hà Nội,08,Quận Hoàng Mai,112,THPT Việt Nam-Ba Lan,"Số 1 ngõ 48, đường Ngọc Hồi, phường Hoàng Liệt, quận Hoàng Mai, TP Hà Nội",KV3,
125,01,Hà Nội,08,Quận Hoàng Mai,252,THPT Nguyễn Đình Chiểu,"Lô 12 Đền Lừ II, phường Hoàng Văn Thụ, quận Hoàng Mai, TP Hà Nội",KV3,
126,01,Hà Nội,08,Quận Hoàng Mai,268,THPT May,"Lô18 khu đô thị Định Công, phường Định Công, quận Hoàng Mai, TP Hà Nội",KV3,
127,01,Hà Nội,08,Quận Hoàng Mai,279,THPT Trần Quang Khải,"Số 11 ngách 1277/26 đường Giải Phóng, phường Thịnh Liệt, quận Hoàng Mai, TP Hà Nội",KV3,
128,01,Hà Nội,08,Quận Hoàng Mai,294,THCS&THPT Quốc tế Thăng Long,"Lô X1 Khu đô thị Bắc Linh Đàm, phường Đại Kim, quận Hoàng Mai, TP Hà Nội",KV3,
129,01,Hà Nội,08,Quận Hoàng Mai,349,THPT Phương Nam,"Lô 18 khu đô thi Định Công, phường Định Công, quận Hoàng Mai, TP Hà Nội",KV3,
130,01,Hà Nội,08,Quận Hoàng Mai,407,GDNN-GDTX quận Hoàng Mai,"Số 8 ngõ 22, tổ 5, đường Khuyến Lương, phường Trần Phú, quận Hoàng Mai, TP Hà Nội",KV3,
131,01,Hà Nội,08,Quận Hoàng Mai,453,GDTX Hoàng Mai,Tổ 10 Phường Trần Phú- Quận Hoàng Mai- TP Hà Nội,KV3,
132,01,Hà Nội,08,Quận Hoàng Mai,611,CĐ nghề kinh doanh và công nghệ Hà Nội,"Số 29A, ngõ 124, Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hoàng Mai, TP Hà Nội",KV3,
133,01,Hà Nội,08,Quận Hoàng Mai,637,TC nghề Du lịch Hà Nội,"Số 24 Ngõ 85 Lĩnh Nam, Quận Hoàng Mai, TP Hà Nội",KV3,
134,01,Hà Nội,08,Quận Hoàng Mai,639,TC nghề Giao thông Vận tải,"5B12A, Phường Mai Động, Quận Hoàng Mai, TP Hà Nội",KV3,
135,01,Hà Nội,08,Quận Hoàng Mai,646,TC nghề Kỹ thuật và Nghiệp vụ XD HN,"16C đường Tam Trinh, Quận Hoàng Mai, TP Hà Nội",KV3,
136,01,Hà Nội,08,Quận Hoàng Mai,653,TC nghề số 17,"Ngõ 228 Lê Trọng Tấn, Khu đô thị mới Định Công, Quận Hoàng Mai, TP Hà Nội",KV3,
137,01,Hà Nội,09,Quận Long Biên,045,THPT Lý Thường Kiệt,"Tổ 11, phường Thượng Thanh, quận Long Biên, TP Hà Nội",KV3,
138,01,Hà Nội,09,Quận Long Biên,059,THPT Nguyễn Gia Thiều,"Số 27 ngõ 298, phường Ngọc Lâm, quận Long Biên, TP Hà Nội",KV3,
139,01,Hà Nội,09,Quận Long Biên,085,THPT Thạch Bàn,"Tổ 12, phường Thạch Bàn, quận Long Biên, TP Hà Nội",KV3,
140,01,Hà Nội,09,Quận Long Biên,121,THPT Phúc Lợi,"Tổ 4 Phường Phúc Lợi, quận Long Biên, TP Hà Nội",KV3,
141,01,Hà Nội,09,Quận Long Biên,234,THPT Lê Văn Thiêm,"Số 44 phố Ô Cách, phường Đức Giang, quận Long Biên, TP Hà Nội",KV3,
142,01,Hà Nội,09,Quận Long Biên,273,THPT Tây Sơn,"Số 2/167 Gia Quất, phường Thượng Thanh, quận Long Biên, TP Hà Nội",KV3,
143,01,Hà Nội,09,Quận Long Biên,282,THPT Vạn Xuân-Long Biên,"Số 56 Hoàng Như Tiếp, phường Bồ Đề, quận Long Biên, TP Hà Nội",KV3,
144,01,Hà Nội,09,Quận Long Biên,287,THPT Wellspring-Mùa Xuân,"Số 95 Phố Ái Mộ, phường Bồ Đề, quận Long Biên, TP Hà Nội",KV3,
145,01,Hà Nội,09,Quận Long Biên,300,"TH,THCS&THPT Vinschool The Harmony","Đường Chu Huy Mân, phường Phúc Đồng, quận Long Biên, TP Hà Nội",KV3,
146,01,Hà Nội,09,Quận Long Biên,408,GDNN-GDTX quận Long Biên,"Ngõ 161 phố Hoa Lâm, phường Việt Hưng, quận Long Biên, TP Hà Nội",KV3,
147,01,Hà Nội,09,Quận Long Biên,471,GDTX Việt Hưng,"Ngách 161 Hoa Lâm, phường Việt Hưng, quận Long Biên, TP Hà Nội",KV3,
148,01,Hà Nội,09,Quận Long Biên,504,Trung cấp Quang Trung,"Tổ 14 phường Phúc Đồng, quận Long Biên, TP Hà Nội",KV3,
149,01,Hà Nội,09,Quận Long Biên,608,CĐ nghề đường sắt I,"Phường Thượng Thanh, Quận Long Biên, TP Hà Nội",KV3,
